City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,26.03,78,40,6.17,CK,1713183271
1,port-aux-francais,-49.35,70.2167,4.77,93,99,13.36,TF,1713183271
2,arquitecto tomas romero pereira,-26.4833,-55.25,22.52,96,100,3.5,PY,1713183272
3,santa ines,-3.6667,-45.38,26.04,91,97,0.97,BR,1713183272
4,pimentel,-6.8367,-79.9342,20.16,83,0,7.72,PE,1713183273
5,thompson,55.7435,-97.8558,0.09,100,100,0.0,CA,1713183273
6,puerto ayora,-0.7393,-90.3518,24.75,99,82,0.89,EC,1713183274
7,belmonte,-15.8631,-38.8828,26.59,87,77,4.43,BR,1713183274
8,utrik,11.2278,169.8474,27.14,82,38,8.53,MH,1713183275
9,jamestown,42.097,-79.2353,9.8,90,100,4.12,US,1713183275
10,al jawf,29.5,38.75,23.13,30,100,2.11,SA,1713183275
11,thunder bay,48.4001,-89.3168,3.11,84,21,3.79,CA,1713183192
12,lihue,21.9789,-159.3672,23.58,78,0,5.14,US,1713183277
13,kodiak,57.79,-152.4072,-4.27,86,0,2.57,US,1713183277
14,alofi,-19.0595,-169.9187,24.94,94,20,1.54,NU,1713183278
15,bredasdorp,-34.5322,20.0403,21.38,71,94,6.88,ZA,1713183278
16,trondheim,63.4305,10.3951,7.05,67,54,2.24,NO,1713183278
17,bilibino,68.0546,166.4372,-17.36,96,100,5.12,RU,1713183279
18,waitangi,-43.9535,-176.5597,11.01,78,100,2.24,NZ,1713183280
19,college,64.8569,-147.8028,-3.03,68,75,0.0,US,1713183280
20,olonkinbyen,70.9221,-8.7187,-3.96,64,98,3.44,SJ,1713183281
21,cles,46.3667,11.0333,21.49,64,98,4.29,IT,1713183281
22,west island,-12.1568,96.8225,27.99,83,40,6.69,CC,1713183282
23,georgetown,5.4112,100.3354,31.96,66,20,3.09,MY,1713183282
24,newnham,-41.3833,147.1333,13.15,71,99,2.57,AU,1713183283
25,ushuaia,-54.8,-68.3,6.81,93,40,3.09,AR,1713183170
26,east london,-33.0153,27.9116,21.52,83,40,7.2,ZA,1713183284
27,iqaluit,63.7506,-68.5145,-12.7,80,32,2.13,CA,1713183284
28,miles city,46.4083,-105.8406,8.54,71,0,5.14,US,1713183285
29,port mathurin,-19.6833,63.4167,27.06,74,19,4.7,MU,1713183285
30,invercargill,-46.4,168.35,9.07,83,80,2.07,NZ,1713183286
31,albany,42.6001,-73.9662,9.54,97,0,0.89,US,1713183210
32,adamstown,-25.066,-130.1015,22.18,66,17,8.42,PN,1713183287
33,puerto natales,-51.7236,-72.4875,9.25,81,75,2.57,CL,1713183287
34,sinan,34.8262,126.1086,10.73,91,100,4.26,KR,1713183288
35,motygino,58.1831,94.7592,5.44,99,100,4.92,RU,1713183288
36,port alfred,-33.5906,26.891,18.99,98,100,2.24,ZA,1713183288
37,wailua homesteads,22.0669,-159.378,23.24,78,0,5.14,US,1713183289
38,kingston,17.997,-76.7936,27.31,79,2,1.23,JM,1713183018
39,las terrenas,19.311,-69.5428,23.93,94,75,0.0,DO,1713183291
40,atafu village,-8.5421,-172.5159,28.08,79,100,5.83,TK,1713183291
41,carnarvon,-24.8667,113.6333,24.65,64,57,9.4,AU,1713183292
42,bethel,41.3712,-73.414,15.49,83,40,0.0,US,1713183146
43,kabalo,-6.05,26.9167,27.25,78,73,1.48,CD,1713183292
44,bad essen,52.3167,8.3333,13.88,59,100,8.14,DE,1713183293
45,margaret river,-33.95,115.0667,16.4,81,0,4.86,AU,1713183293
46,huron,41.1501,-82.5499,12.6,83,5,4.7,US,1713183294
47,hede,33.7681,120.2517,15.28,93,51,3.02,CN,1713183294
48,san patricio,28.017,-97.5169,23.8,87,99,5.75,US,1713183295
49,silute,55.3489,21.4831,7.78,68,44,5.2,LT,1713183296
50,edinburgh of the seven seas,-37.0676,-12.3116,14.9,58,34,5.31,SH,1713183296
51,enewetak,11.3474,162.3373,27.39,79,22,8.38,MH,1713183296
52,saint-joseph,-21.3667,55.6167,26.72,88,99,6.36,RE,1713183297
53,achinsk,56.2694,90.4993,9.83,69,99,8.94,RU,1713183111
54,nhamunda,-2.1861,-56.7131,25.96,91,98,1.96,BR,1713183298
55,askoy,60.4092,5.226,8.19,53,75,6.69,NO,1713183298
56,nazca,-14.8333,-74.95,19.79,82,93,1.44,PE,1713183299
57,basco,20.4487,121.9702,27.32,78,2,3.35,PH,1713183299
58,tarnogskiy gorodok,60.4997,43.5761,5.71,95,100,3.46,RU,1713183300
59,mahibadhoo,3.7833,72.9667,29.65,68,100,2.01,MV,1713183300
60,iskateley,67.6803,53.1512,0.01,100,100,4.02,RU,1713183301
61,sinjar,36.3209,41.8754,23.32,39,33,3.31,IQ,1713183301
62,weno,7.4515,151.8468,26.97,89,75,2.57,FM,1713183301
63,arraial do cabo,-22.9661,-42.0278,26.92,74,75,6.17,BR,1713183302
64,punta arenas,-53.15,-70.9167,10.06,87,0,3.6,CL,1713183137
65,mandalgovi,45.7625,106.2708,10.6,24,19,3.95,MN,1713183304
66,yurty,56.0498,97.6348,10.48,72,96,4.58,RU,1713183304
67,sitka,57.0531,-135.33,0.94,86,0,0.0,US,1713183253
68,villa gesell,-37.2639,-56.973,19.47,96,100,12.35,AR,1713183155
69,papatowai,-46.5619,169.4708,10.63,79,38,2.26,NZ,1713183306
70,grytviken,-54.2811,-36.5092,3.92,88,71,3.48,GS,1713183307
71,tiksi,71.6872,128.8694,-7.39,90,100,3.13,RU,1713183307
72,luderitz,-26.6481,15.1594,22.29,53,52,5.37,,1713183307
73,laguna,38.421,-121.4238,11.99,89,100,3.6,US,1713183308
74,port elizabeth,-33.918,25.5701,22.83,97,99,3.58,ZA,1713183308
75,margate,51.3813,1.3862,11.5,64,78,8.94,GB,1713183236
76,mohiuddinnagar,25.5833,85.6667,39.7,12,68,5.69,IN,1713183309
77,al muharraq,26.2572,50.6119,27.1,64,99,1.79,BH,1713183310
78,heunghae,36.1125,129.3522,15.44,94,100,1.43,KR,1713183310
79,panaba,21.2833,-88.2667,19.44,91,12,2.98,MX,1713183311
80,kisangani,0.5167,25.2,36.98,35,45,1.84,CD,1713183311
81,yellowknife,62.456,-114.3525,-4.21,99,75,3.6,CA,1713183312
82,aasiaat,68.7098,-52.8699,-13.76,74,2,3.24,GL,1713183312
83,ribeira grande,38.5167,-28.7,18.22,82,75,10.8,PT,1713183313
84,tazovsky,67.4667,78.7,-16.48,93,95,4.37,RU,1713183313
85,knin,44.0439,16.2,24.2,42,2,7.35,HR,1713183314
86,pionerskiy,54.9508,20.2275,8.97,81,37,5.14,RU,1713183314
87,idiroko,6.6333,2.7333,36.88,42,93,3.12,NG,1713183315
88,petropavlovsk-kamchatsky,53.0452,158.6483,2.1,83,100,6.71,RU,1713183315
89,nizhniy ingash,56.2,96.53,10.77,72,100,5.28,RU,1713183316
90,polyarnyy,69.1989,33.4478,0.06,99,100,9.01,RU,1713183317
91,boskovice,49.4875,16.66,18.08,71,100,2.95,CZ,1713183317
92,chazuta,-6.5742,-76.1367,24.47,85,13,0.27,PE,1713183317
93,verdal,63.7933,11.4817,6.02,54,59,0.61,NO,1713183318
94,ciudad lazaro cardenas,17.9583,-102.2,22.98,77,68,1.29,MX,1713183319
95,villa vasquez,19.7411,-71.4464,24.6,72,0,2.83,DO,1713183319
96,turpan,42.9333,89.1667,28.91,7,36,1.45,CN,1713183320
97,luba,3.4568,8.5547,28.94,79,59,2.49,GQ,1713183320
98,sisimiut,66.9395,-53.6735,-6.49,61,0,3.61,GL,1713183321
99,ancud,-41.8697,-73.8203,10.35,89,0,1.79,CL,1713183321
100,maple ridge,49.2194,-122.6019,9.08,79,99,0.45,CA,1713183277
101,san julian,21.0167,-102.1667,16.0,49,95,1.78,MX,1713183322
102,illapel,-31.6308,-71.1653,12.75,79,100,0.5,CL,1713182771
103,victoria,22.2855,114.1577,28.03,80,99,1.79,HK,1713183041
104,blackmans bay,-43.0167,147.3167,12.51,70,100,0.89,AU,1713183324
105,kattivakkam,13.2167,80.3167,32.05,64,77,5.08,IN,1713183324
106,laborde,-33.1532,-62.8566,13.79,94,100,6.96,AR,1713183325
107,isafjordur,66.0755,-23.124,1.02,51,75,6.17,IS,1713183325
108,taltal,-25.4,-70.4833,17.22,62,0,1.68,CL,1713183326
109,ilulissat,69.2167,-51.1,-14.8,71,3,0.55,GL,1713183326
110,ismayilli,40.779,48.1638,16.4,55,97,3.16,AZ,1713183326
111,shadrinsk,56.0852,63.6335,9.87,39,33,4.76,RU,1713183327
112,hengchun,22.0042,120.7439,27.23,76,6,3.46,TW,1713183327
113,antonio enes,-16.2325,39.9086,28.79,57,99,7.04,MZ,1713183328
114,kudahuvadhoo,2.6708,72.8944,29.37,71,100,2.7,MV,1713183328
115,qaqortoq,60.7167,-46.0333,1.39,94,100,3.87,GL,1713183063
116,codrington,-38.2667,141.9667,12.12,90,36,2.8,AU,1713183329
117,mugumu,-1.85,34.7,23.24,69,82,2.08,TZ,1713183330
118,skhira,34.2992,10.07,22.58,58,53,6.08,TN,1713183330
119,salalah,17.0151,54.0924,30.05,74,40,7.2,OM,1713183331
120,haiku-pauwela,20.9219,-156.3051,21.69,92,100,8.23,US,1713183331
121,buala,-8.145,159.5921,27.54,85,100,3.95,SB,1713183332
